mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
2074500,38330908,117854175,99,,35500,0,0,1611547375,,0,0,0,0,0,0,,0,,36000,0,0,,0,0,,E837D53CCCD61A9F
4131446,37558888,121388149,99,,27600,0,0,1629108236,,0,0,0,0,0,0,,0,,27620,0,0,,0,2624,,850AEE3162FAD8FF
4131454,38375782,117898572,99,,25700,0,0,1611654212,,0,0,0,0,0,0,,0,,9220,-5,1,,0,0,,99AE047B794EBD22
41880190,38317125,117839899,99,,25800,0,0,1611135332,,0,0,0,0,0,0,,0,,11760,-5,1,,0,0,,BA660E442B5E46A3
100000874,20811257,109436307,99,99,51100,10,1636913762,1636913756,0,0,0,630,5120,1,6000,"BAYUQUAN,CN",630,YUELEIYU11499576,9600,0,0,粤雷渔11499576,0,3910,09-26 01:00,0DC059E5FC33EF7E
100555466,40286957,122117928,99,,35800,200,1613625436,1614044217,0,0,0,50,750,0,0,,110,HKM98,0,0,15,,0,0,,4E318C47A51DF85F
136417666,38949213,117689706,99,,51100,0,0,1643524927,,0,0,0,0,0,0,,0,,5270,0,0,,0,154,,60ACB6CDD99C938A
149709267,40295665,122136532,99,,14200,0,0,1616014897,,0,0,0,0,0,0,,0,,15860,0,5,,0,0,,0AFD80B13F6B758F
150201655,38902299,118417382,1,668,51100,80,1643601739,1643624409,0,0,30,560,730,1,3800,"HUANGHUA,CN",560,HAI FA 668,14390,686,0,海发668,0,51,05-30 17:30,D052740784E9EE4A
162280694,38936460,117701006,99,,33200,0,0,1610451901,,0,0,0,0,0,0,,0,,20140,0,5,,0,0,,C6D54CDDDB0959BA
200583782,38463109,117659331,1,922,0,90,1642432733,1642436544,0,0,90,20,190,0,5600,BZ,40,SHUICE6,0,0,0,,0,0,03-04 01:20,9A46306BA04B9603
206611460,38936912,117696484,99,,29400,0,0,1638377734,,0,0,0,0,0,0,,0,,32660,0,5,,0,0,,018F877A54D5962C
353730000,38938399,117695238,2,3FRP,20300,230,1643370997,1643624755,9565405,0,70,200,1590,0,5800,"TIANJIN,CN",240,SKY HEIGHT,20400,0,5,,0,0,01-19 16:30,E907A4F49B508535
477661400,17466986,113665372,2,VRGF4,21000,310,1643200114,1643585704,9473420,1643619870,70,120,1800,0,9700,LAEM CHAB,280,RIVERTEC,21300,0,0,,0,5762,02-04 09:00,67D58D2FF1F5F35E
210188000,-23332989,52671138,2,5BSN5,24200,250,1643490882,1643611153,9542491,1643623856,70,190,2250,0,14200,"ROTTERDAM,NL",320,PARASKEVI 2,24100,0,0,,0,6070,03-01 12:00,ED14CEDEA70225F9
240111000,23693833,122458783,2,SYHN,19200,500,1639111596,1639378211,9264788,1643551869,70,270,2890,0,8900,"TLUK RBIAH, MALAYSIA",450,CIC ELLI S,19300,0,0,,0,5093,12-20 12:00,090B7D486E0F5B58
247285096,40740125,-18093545,99,,51100,0,0,1474798098,,1568310634,0,0,0,0,0,,0,,28610,0,5,,0,463,,1D0F741AE9F54B1A
441950000,40272011,122118430,2,D8BB,8800,130,1643618299,1643624787,9623374,0,70,90,800,0,5800,CN BAYUQUAN         ,140,ELPIS,27670,0,5,,0,0,01-28 12:00,F1D785F3A642217D
413236980,30327709,121749228,99,BOHI4,30700,380,1643581263,1643624282,0,0,70,110,1430,1,8300,"NINGBO,CN",220,HAI LI 7,30800,0,0,海力7,0,0,01-31 09:00,6654EC7936E7C822
256820000,21307772,116425400,2,9HA4016,20800,300,1643476399,1642538009,9695640,1643624022,70,150,1800,0,9900,"DURBAN,ZA",300,ARCADIA,21000,0,0,,0,6739,02-08 04:00,C260F9D50658DFFA
229382000,41743205,144279896,2,9HA5481,7100,400,1643603803,1643619603,9479204,1643622295,79,180,2920,0,8700,"PRINCE RUPERT,CA",450,THALASSINI AGATHA,7670,0,0,,0,6688,02-11 05:00,BB8DBE96A07523FC
412379250,37992888,121110611,1,BIAT4,10000,280,1643586125,1643625034,0,0,70,100,1730,1,10400,"ZHANGZHOU,CN",240,HUAI RUN1,10060,0,0,淮润1,0,5865,02-04 21:00,61C51635BA522E61
477641700,1297404,104064471,1,VRGB8,25800,300,1642843210,1643625051,9482471,0,70,220,1900,0,8600,"MUMBAI,IN",320,BEIJING VENTURE,25600,0,0,,0,5762,02-10 02:30,82BC1E17EBF45AE7
373213000,39131398,118595491,2,3FBY9,29600,240,1643567931,1643624416,9638953,0,70,90,1340,0,7600,"CAOFEIDIAN,CN",180,CHANG MING,36000,0,5,,0,52628,01-28 16:00,6A1B1D4D542C83E4
312608554,38988820,118530335,99,,15500,0,0,1639214340,,0,0,0,0,0,0,,0,,1270,0,0,,0,103,,22505E5806788AEE
413236160,39003901,117749096,2,BOHD5,2400,630,1643500802,1643624888,9702780,0,90,80,840,1,5200,"TIANJIN,CN",180,GUO HAI MIN SHENG,25300,0,5,国海民盛,0,0,12-23 05:00,A9ACE64F0B90DF43
345483526,31894825,120100615,99,,51100,0,0,1630506681,,0,0,0,0,0,0,,0,,29970,0,0,,0,3087,,BBB1D019B6625835
413406950,38937266,117701159,1,FH,51100,250,1643501779,1643624657,0,0,80,30,550,1,3400,"TIANJIN,CN",90,DONG KAI YOU 6,36000,0,5,东凯油6,0,0,01-30 15:30,00F684A8A0CAC9B5
372795000,27455997,130377864,2,3EWX6,11800,400,1643078944,1643340343,9268801,1643621774,70,250,2890,0,8900,"GLADSTONE,AU",450,NS HAIRUN,11600,0,0,,0,6379,02-09 15:00,106C375C6EB56568
412100340,38948246,118530055,99,00340,3000,50,1642616431,1642945101,0,0,30,20,150,0,0,,50,TANGCAOYU00340,3030,0,0,,0,3807,,73533F3C670D22AE
412760560,30275018,121684718,1,BKWS4,30600,230,1643522656,1643624613,0,0,70,90,1380,1,7700,"ZHENHAI,CN",210,TIAN RUN ZHI 8,32000,0,1,天润之8,0,0,01-31 00:00,6FF2384B7505A972
413705340,26258954,119839002,1,BLFS2,6000,170,1642979046,1643624256,0,0,70,130,1160,1,6400,"FUZHOU,CN",160,CHANG FU SHUN,12590,0,1,长福顺,0,51,01-28 15:15,675D1CF723FDBA36
413508256,40224383,122056471,99,,17800,220,1563785129,1642203755,0,0,70,70,720,0,0,,140,098,0,0,5,,0,0,,1466067C3957DF09
353708000,19698177,119679811,2,H3TK,1400,200,1643147525,1643624571,9241255,0,70,120,1870,1,8600,"NINGDE,CN",310,TIAN LI,800,0,0,天力,0,2932,02-02 03:00,D6D2D066AEFB649A
353709952,40221194,122060189,99,,8500,0,0,1611205476,,0,0,0,0,0,0,,0,,530,0,0,,0,51,,93A1DB09E3853E18
229859000,41652366,144044458,2,9HA3669,8600,260,1643386980,1643393222,9288461,1643623815,70,210,2250,0,6800,"BALBOA,PA",320,GORGOYPIKOOS,9240,0,0,,0,6122,02-22 20:00,08DDA1654C382845
413451140,37774955,122410127,1,BKLJ,12700,280,1643624710,1643625029,0,0,70,80,1990,1,11000,"CHANGJIANGKOU,CN",320,ZHE HAI 101,12660,0,0,浙海101,0,5402,02-02 08:00,7DABD536E52237A3
355674000,27739446,121476478,2,H9YK,4600,130,1643603783,1643623733,9179464,0,100,120,1370,1,8800,"INCHEON,KR",220,RUN SHENG,4400,0,0,润晟,0,6019,02-02 20:00,D26A50A74091B267
477293400,17599110,117961851,2,VRMZ2,21900,310,1642879401,1643357923,9611711,1643624588,70,230,2290,1,11900,"SINGAPORE,SG",320,JIN XIA FENG,21700,0,0,锦霞峰,0,6328,02-02 00:00,D698D1F8660436A8
356087000,30973254,132206287,2,3FJX3,9200,260,1643445178,1641403436,9502829,1643622064,70,200,1800,0,8900,BOBAL\PANAMA        ,280,PRETTY JACK,8730,0,0,,0,7151,02-03 17:00,0558115C246A0297
413257220,40229429,122050694,99,BKUR4,18000,260,1643615048,1643624996,0,0,70,110,1580,1,5500,"BAYUQUAN,CN",230,DE QIN 68,31950,-7,0,德勤68,0,154,01-31 18:00,F2A97153BB2D7E89
413224338,38378440,117900843,99,,23100,0,0,1643031647,,0,0,0,0,0,0,,0,,20840,0,0,,0,0,,40F991E2AD9E4D96
357847029,29720726,122554926,99,,11000,0,0,1582201919,,0,0,0,0,0,0,,0,,10820,0,5,,0,5092,,9DC93EAC22030B08
358738068,38955780,117713676,99,,2700,0,0,1613884280,,0,0,0,0,0,0,,0,,19720,0,5,,0,0,,072FBF49B5613308
370085000,32839807,123245665,2,3FRQ8,33800,330,1643434626,1643623258,9036806,0,70,230,2250,1,14200,"RIZHAO,CN",320,SHUN FENG 9,33700,0,0,顺风9,0,5247,02-01 08:00,AE42EB751B871D32
413700980,31480056,122867989,1,BVIR8,17600,230,1643504610,1643624630,0,0,79,100,1400,1,8000,WAI LI              ,200,HONG TAI 86,17900,0,0,弘泰86,0,5299,02-04 06:00,94C6ACBD07180BD5
477379000,42037468,144335584,2,VRUZ9,6200,240,1643333369,1643359167,9121297,1643622455,70,220,1990,0,11300,"VANCOUVER (USA),US",300,SAGA HORIZON,6560,0,0,,0,6070,02-09 12:00,7B5AAAD4DB145661
413283470,37460564,122769187,2,0,17900,200,1643564007,1643625039,1400704,0,70,140,1400,0,8700,"CHANGJIANGKOU,CN",220,YIBINGHANGHAI,18150,0,0,,0,3755,02-02 11:30,A4219BE9B9D4A4CD
